Company Name,FOUNDED,BUSINESS MODEL,EMPLOYEES,FUNDING STAGE,RAISED,PRODUCT STAGE,Funding stage,Total raised,Total rounds,Investors,Current Round,Funding in Current Round,TAGS
QuantLR,                              6/2017,"B2B, B2G",1-10,Seed,                 $2.51M,Beta,Seed,2.51M,3,3,Undisclosed Round,,"['5g-networks' 'cyber-security' 'communications' 'cryptography'
 'encryption' 'quantum-computing' 'optronics' 'data-protection'
 'network-security']"
Authomize,                              9/2019,B2B,11-50,ROUND A,                 $22M,Released,A,22M,2,4,A Round,$16M,"['artificial-intelligence' 'compliance' 'enterprise-solutions'
 'cyber-security' 'saas' 'cloud' 'it-security' 'it-solutions']"
Cider Security,                              10/2020,B2B,11-50,Seed,,R&D,Seed,0,1,1,Seed,,['it' 'cyber-security']
Skybox Security,                              3/2002,"B2B, B2G",201-500,ROUND C+,                 $273.3M,Released,C+,273.3M,7,12,Undisclosed Round,$150M,"['enterprise-security' 'cyber-security' 'threat-intelligence' 'firewall'
 'compliance' 'network-optimization' 'network-visibility' 'sdn'
 'vulnerability-management' 'orchestration' 'vulnerability-assessment'
 'gdpr' 'network-security']"
Transmit Security,                              7/2014,"B2B, B2B2C",201-500,ROUND A,                 $543M,Released,A,543M,1,9,A Round,$543M,"['unicorn' 'user-experience' 'authentication' 'biometrics'
 'cyber-security' 'multi-factor-authentication' 'security'
 'cross-platform' 'iam' 'orchestration' 'identity-verification' 'retail'
 'anti-fraud']"
Simplex,                              4/2014,B2B,51-200,ROUND A,                 $8.4M,Released,A,8.4M,3,6,A Round,$7M,"['web-platform' 'authentication' 'bitcoin' 'cyber-security'
 'artificial-intelligence' 'transactions' 'machine-learning' 'fintech'
 'software-applications' 'credit-cards' 'cryptocurrency' 'payments'
 'currency-exchange' 'digital-wallet' 'blockchain' 'mobile-payments'
 'anti-fraud']"
CyCognito,                              1/2017,B2B,51-200,ROUND B,                 $53M,Released,B,53M,3,7,B Round,$30M,"['penetration-tests' 'enterprise-solutions' 'vulnerability-assessment'
 'breach-simulation' 'security-operations' 'risk-management'
 'threat-intelligence' 'risk-assesments' 'bots' 'saas' 'cyber-security']"
SecuredTouch,                              8/2014,"B2B, B2B2C",11-50,ROUND A,                 $11.53M,Released,A,11.53M,3,6,A Round,$8M,"['fintech' 'behavioral-biometrics' 'authentication' 'machine-learning'
 'access-control' 'identity-verification' 'payments' 'cyber-security'
 'anomaly-detection' 'multi-factor-authentication' 'bots' 'iam'
 'transactions' 'biometrics' 'behavior-analytics' 'bot-detection'
 'gesture-recognition' 'ecommerce' 'mobile-security'
 'artificial-intelligence' 'anti-fraud']"
Beyond Security,                              10/1999,"B2B, B2G",51-200,Revenue Financed,,Released,,,,,,,"['vulnerability-management' 'application-security-testing'
 'website-security' 'penetration-tests' 'it-management' 'network-security'
 'cyber-security' 'vulnerability-assessment' 'counselling-and-integration']"
C2A Security,                              5/2016,B2B,11-50,ROUND A,                 $7.7M,Released,A,7.7M,3,3,A Round,$6.5M,"['cyber-security' 'connected-vehicles' 'machine-learning' 'access-control'
 'artificial-intelligence' 'smart-mobility']"
CyberTag,                              5/2018,,1-10,,,,,,,,,,['cyber-security']
7Ci,                              1/2020,B2B,1-10,Bootstrapped,,Customer development,,,,,,,['enterprise-solutions' 'cyber-security' 'incident-response']
L7 Defense,                              7/2015,"B2B, B2G",11-50,ROUND A,                 $4.75M,Released,A,4.75M,2,3,A Round,$4M,"['enterprise-solutions' 'behavior-analytics' 'deep-learning'
 'network-security' 'website-security' 'cyber-security' 'ddos'
 'application-security' 'enterprise-security' 'api' 'security'
 'artificial-intelligence' 'machine-learning' 'homeland-security']"
Strattic,                              1/2016,B2B,11-50,Seed,                 $6.5M,Released,Seed,6.5M,2,8,Seed,$6.5M,"['data-protection' 'web-application' 'serverless' 'web-development'
 'open-source' 'saas' 'performance' 'ddos' 'cloud' 'cyber-security'
 'website-security']"
Tartico,                              11/2018,"B2B, B2G, B2B2C",1-10,Bootstrapped,,Released,,,,,,,"['penetration-tests' 'enterprise-solutions' 'network-security'
 'patent-pending' 'vulnerability-assessment' 'cloud-security'
 'enterprise-security' 'iot-security' 'connected-devices' 'cyber-security']"
nSure.ai,                              2/2019,B2B,11-50,Seed,                 $7.35M,R&D,Seed,7.35M,2,4,Seed,$6.8M,"['payments' 'transactions' 'online-shopping' 'gift-cards'
 'risk-management' 'artificial-intelligence' 'cyber-security' 'ecommerce'
 'anti-fraud' 'fintech' 'insurtech']"
Vulcan Cyber,                              2/2018,B2B,51-200,ROUND B,                 $35M,Released,B,35M,3,6,B Round,$21M,"['application-security' 'cyber-security' 'risk-management'
 'security-operations' 'vulnerability-management' 'patch-management'
 'enterprise-security' 'orchestration']"
Kaymera,                              11/2013,"B2B, B2G",11-50,ROUND A,                 $10M,Released,A,10M,1,3,A Round,$10M,"['mobile-applications' 'encryption' 'data-protection' 'byod'
 'enterprise-security' 'mdm' 'mobile-security' 'malware' 'cyber-security']"
ELTA Systems,                              8/1967,"B2B, B2G",500+,Established,,Released,,,,,,,"['radar' 'anti-drones' 'artificial-intelligence' 'security' 'sigint'
 'surveillance' 'cyber-security' 'satcom' 'sensors' 'cyber-warfare'
 'intelligence' 'homeland-security' 'telecommunication' 'space-tech']"
Cynamics,                              9/2018,"B2B, B2G",11-50,Seed,                 $7M,Beta,Seed,7M,1,2,Seed,$7M,"['cyber-security' 'deep-learning' 'homeland-security' 'network-visibility'
 'threat-detection' 'public-safety' 'emergency-response' 'smart-city'
 'critical-infastructure']"
NICE,                              9/1986,"B2B, B2G",500+,Public,,Released,,,,,,,"['customer-experience' 'software-applications' 'video-analytics'
 'machine-learning' 'robotic-process-automation' 'surveillance'
 'quarantine' 'big-data' 'artificial-intelligence' 'anti-fraud' 'fintech'
 'video-recording' 'cyber-security' 'intelligence']"
SCADASudo,                              5/2015,"B2B, B2G",1-10,Bootstrapped,,Released,,,,,,,"['siem' 'cyber-security' 'security-operations' 'industry-4.0' 'forensics'
 'anomaly-detection' 'scada' 'industrial-technologies' 'ot'
 'control-systems' 'monitoring' 'counselling-and-integration'
 'critical-infastructure']"
MindoLife IoT,                              7/2014,"B2B, B2C, B2B2C",11-50,Revenue Financed,                 $1.25M,Released,Revenue Financed,1.25M,3,0,Grant,$250K,"['sensors' 'artificial-intelligence' 'iot' 'power-management'
 'home-appliances' 'energy-saving' 'cyber-security' 'water-heating'
 'connectivity' 'iot-security' 'iot-platform' 'energy-efficiency'
 'connected-devices' 'automation' 'green-energy' 'smart-home']"
Adaptive Shield,                              8/2019,B2B,1-10,ROUND A,                 $34M,Released,A,34M,2,3,A Round,$30M,['saas' 'enterprise-solutions' 'cloud-security' 'cyber-security']
Mobile Crypto,                              11/2008,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['network-security' 'network-management' 'data-protection'
 'wireless-communication' 'mobile-devices' 'encryption' 'mobile-networks'
 'telecommunication' 'cyber-security' 'it-management' 'mobile-security'
 'enterprise-solutions']"
odix,                              1/2012,"B2B, B2G",11-50,ROUND A,                 $4.29M,Released,A,4.29M,2,2,A Round,$2.1M,"['endpoint-security' 'insider-threat' 'messaging-security' 'cdr' 'email'
 'file-security' 'ransomware' 'website-security' 'network-security'
 'cyber-security' 'malware' 'data-protection' 'security-gateway'
 'zero-day']"
Panorays,                              5/2016,B2B,51-200,ROUND B,                 $62M,Released,B,62M,3,10,B Round,$42M,"['saas' 'big-data' 'risk-management' 'cyber-security' 'compliance'
 'auditing' 'gdpr' 'grc' 'quarantine' 'supply-chain' 'cyber-insurance'
 'enterprise-security' 'vulnerability-assessment']"
Deep Instinct,                              1/2015,"B2B, B2G",201-500,ROUND C+,                 $276.2M,Released,C+,276.2M,5,17,D Round,$67M,"['ips' 'zero-day' 'cyber-security' 'artificial-intelligence'
 'endpoint-security' 'mobile-devices' 'edr' 'threat-intelligence'
 'deep-learning' 'apt' 'network-security' 'machine-learning'
 'mobile-security' 'byod']"
ShieldIOT,                              4/2017,B2B,11-50,Seed,                 $3.6M,Beta,Seed,3.6M,2,4,Seed,$2.6M,"['smart-manufacturing' 'industry-4.0' 'smart-mobility' 'transportation'
 'network-security' 'iot-security' 'smart-buildings' 'machine-learning'
 'anomaly-detection' 'iot' 'privacy-protection' 'smart-city' 'encryption'
 'security-gateway' 'retail' 'medical-devices' 'artificial-intelligence'
 'cyber-security']"
FRANCISCO VENTURES,                              3/2019,"B2B, B2C, B2G",1-10,Bootstrapped,,Beta,,,,,,,"['homeland-security' 'iot' 'encryption' 'compliance' 'threat-intelligence'
 'enterprise-security' 'authentication' 'machine-learning'
 'enterprise-solutions' 'data-protection' 'artificial-intelligence'
 'security' 'mobile-security' 'network-security' 'cyber-security']"
TrapX Security,                              10/2011,"B2B, B2G",51-200,ROUND B,                 $19M,Released,B,19M,2,5,B Round,$14M,"['cyber-security' 'network-security' 'enterprise-security'
 'cloud-security' 'iot' 'ransomware' 'data-protection'
 'threat-intelligence' 'zero-day' 'industry-4.0' 'virtualization'
 'deception']"
Ananda Networks,                              10/2018,B2B,11-50,Seed,                 $6M,Released,Seed,6M,1,9,Seed,$6M,"['machine-learning' 'distributed-systems' 'cloud' 'cyber-security'
 'software-platform' 'vpn' 'network-security' 'artificial-intelligence']"
Radware,                              1/1997,"B2B, B2G",500+,Public,,Released,,,,,,,"['web-application-firewall' 'application-security' 'cloud'
 'network-security' 'ddos' 'website-security' 'security' 'virtualization'
 'web-traffic' 'enterprise-solutions' 'cloud-security'
 'telecommunication-equipment' 'telecommunication' 'cyber-security']"
SAFEMIND Cybersecurity,                              6/2021,"B2B, B2C",1-10,Bootstrapped,,R&D,,,,,,,['cyber-security']
ERM Advanced Telematics,                              1/1985,B2B,51-200,Established,,Released,,,,,,,"['electric-vehicles' 'vehicle-technology' 'iot' 'behavior-analytics'
 'safety' 'asset-tracking' 'smart-mobility' 'cyber-security' 'sensors'
 'tracking' 'connected-vehicles' 'fleet-management' 'monitoring'
 'telematics']"
CYBONET,                              5/2002,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['spam-protection' 'gdpr' 'data-protection' 'firewall' 'security-gateway'
 'cyber-security' 'insider-threat' 'siem' 'dpi' 'encryption' 'monitoring'
 'vulnerability-management' 'spear-phishing' 'email' 'enterprise-security'
 'bot-detection' 'threat-detection' 'cloud' 'messaging-security'
 'network-security']"
Kindite,                              2/2017,"B2B, B2G",11-50,Seed,                 $4M,Released,Seed,4M,1,3,Seed,$4M,"['enterprise-security' 'security' 'data-protection' 'cyber-security'
 'compliance' 'privacy-protection' 'cryptography' 'cloud-security' 'gdpr'
 'homomorphic-encryption' 'encryption']"
Digital Confidence,                              1/2009,"B2B, B2C",1-10,Revenue Financed,,Released,,,,,,,"['dlp' 'messaging-security' 'file-security' 'data-protection'
 'cyber-security']"
Curv,                              1/2018,B2B,11-50,ROUND A,                 $36.5M,Released,A,36.5M,3,11,A Round,$7M,"['investments' 'cryptocurrency' 'cryptography' 'trading-and-investing'
 'fintech' 'cyber-security' 'data-protection']"
Opora Technologies,                              3/2012,B2B,11-50,Seed,                 $7M,Released,Seed,7M,1,1,Seed,$7M,"['threat-intelligence' 'big-data-analytics' 'smart-city'
 'enterprise-security' 'cyber-security' 'behavior-analytics'
 'threat-detection']"
Fireblocks,                              6/2018,B2B,51-200,ROUND C+,                 $489M,Released,C+,489M,5,20,D Round,$310M,"['cryptocurrency' 'otc' 'digital-assets' 'international-money-transfer'
 'fintech' 'unicorn' 'cyber-security' 'currency-exchange' 'tokens'
 'digital-wallet' 'blockchain' 'enterprise-solutions']"
Spectral Cyber Technologies,                              4/2020,B2B,11-50,ROUND A,                 $6.2M,Released,A,6.2M,1,2,A Round,$6.2M,['web-platform' 'cyber-security' 'enterprise-solutions' 'data-breach']
CyTwist,                              11/2014,B2B,1-10,Bootstrapped,,Beta,,,,,,,['enterprise-solutions' 'artificial-intelligence' 'cyber-security']
SafeRide Technologies,                              1/2016,B2B,11-50,ROUND A,,Released,,,,,,,"['connected-vehicles' 'logistics' 'threat-detection' 'data-analytics'
 'software-applications' 'fleet-management' 'penetration-tests'
 'transportation' 'deep-learning' 'oem' 'autonomous-vehicles'
 'artificial-intelligence' 'diagnostics' 'driver-safety'
 'machine-learning' 'iot' 'cyber-security' 'zero-day' 'smart-mobility']"
Celestya,                              5/2014,B2B,1-10,Revenue Financed,,Released,,,,,,,"['spear-phishing' 'social-engineering' 'cross-platform'
 'penetration-tests' 'training' 'behavior-analytics' 'enterprise-security'
 'counselling-and-integration' 'employee-training' 'cyber-security']"
Protected Media,                              7/2014,B2B,11-50,Seed,                 $4M,Released,Seed,4M,1,3,Seed,$4M,"['anti-fraud' 'cyber-security' 'website-security' 'advertising'
 'campaign-management' 'bot-detection' 'adtech']"
empow,                              7/2014,B2B,11-50,ROUND B,                 $21M,Released,B,21M,3,1,B Round,$10M,"['siem' 'network-security' 'machine-learning' 'insider-threat'
 'incident-response' 'cyber-security' 'enterprise-security' 'it'
 'spear-phishing' 'ransomware' 'dlp' 'leak-detection'
 'vulnerability-management' 'it-management' 'malware'
 'artificial-intelligence' 'orchestration' 'natural-language-processing']"
Purpose Security,                              5/2019,B2B,1-10,Bootstrapped,,Customer development,,,,,,,"['data-protection' 'saas' 'legaltech' 'cyber-security'
 'privacy-protection' 'compliance' 'gdpr']"
Pentera,                              11/2015,B2B,51-200,ROUND B,                 $39.25M,Released,B,39.25M,3,4,B Round,$25M,"['breach-simulation' 'automation' 'penetration-tests' 'network-security'
 'vulnerability-assessment' 'cyber-security' 'threat-detection'
 'compliance' 'enterprise-security' 'enterprise-solutions']"
Snyk,                              7/2015,B2B,500+,ROUND C+,                 $1.127B,Released,C+,1.127B,9,23,F Round,$300M,"['vulnerability-management' 'app-development' 'unicorn'
 'vulnerability-assessment' 'containers' 'cyber-security'
 'enterprise-security' 'open-source' 'application-security' 'code'
 'secure-coding' 'application-security-testing' 'kubernetes'
 'cloud-security' 'database-security']"
Tufin,                              1/2005,"B2B, B2G",500+,Public,                 $23.75M,Released,Public,23.75M,3,3,D Round,$8M,"['it' 'cloud-security' 'risk-management' 'network-security'
 'web-application-firewall' 'risk-assesments' 'orchestration'
 'cyber-security' 'enterprise-security' 'it-management' 'compliance' 'iot']"
PAI-TECH,                              6/2018,B2B,1-10,Bootstrapped,,Customer development,,,,,,,"['deep-neural-networks' 'machine-learning' 'blockchain'
 'artificial-intelligence' 'operating-systems' 'automation' 'bots'
 'distribution' 'real-time' 'web-development' 'enterprise-solutions'
 'cyber-security' 'distributed-systems']"
Quality Bytes,                              12/2000,B2B,11-50,Revenue Financed,,Released,,,,,,,"['security-gateway' 'saas' 'it' 'telecommunication' 'network-security'
 'hardware' 'cyber-security' 'firewall' 'telephony'
 'enterprise-networking' 'voip']"
monogoto,                              7/2017,B2B,11-50,Seed,                 $11M,Released,Seed,11M,1,6,Seed,$11M,"['cyber-security' 'telecommunication' 'customer-engagement'
 'mobile-networks' 'iot' 'sim-card' 'network-management' 'lte'
 '5g-networks' 'web-platform' 'enterprise-solutions' 'smart-city'
 'iot-security' 'wireless-communication']"
JpU,                              1/2016,"B2B, B2G, B2B2C",11-50,Seed,,Released,,,,,,,"['private-cloud' 'cloud' '5g-networks' 'mobile-networks' 'web-traffic'
 'network-security' 'smart-city' 'iot' 'cloud-services' 'm2m'
 'network-management' 'mobile-devices' 'cyber-security'
 'enterprise-solutions' 'smart-mobility']"
BUFFERZONE,                              4/2003,B2B,11-50,ROUND B,                 $500K,Released,B,500K,1,1,Seed,$500K,"['cyber-security' 'endpoint-security' 'network-security'
 'application-security' 'spear-phishing' 'ransomware' 'isolation' 'apt'
 'cdr' 'enterprise-security' 'zero-day' 'malware']"
Cognyte,                              5/2020,"B2B, B2G",500+,Public,,Released,,,,,,,"['data-visualization' 'enterprise-security' 'enterprise-solutions'
 'artificial-intelligence' 'threat-detection' 'threat-intelligence'
 'intelligence' 'data-analytics' 'machine-learning' 'cyber-security']"
Hudson Rock,                              6/2019,B2B,1-10,Bootstrapped,,Released,,,,,,,"['social-media' 'cyber-intelligence' 'data-protection' 'cyber-security'
 'network-security' 'threat-detection' 'enterprise-solutions' 'ransomware'
 'monitoring']"
Safe-T,                              1/2013,"B2B, B2G",11-50,Public,                 $5M,Released,Public,5M,1,1,Seed,$5M,"['software-defined-perimeter' 'compliance' 'file-security'
 'mobile-applications' 'enterprise-security' 'perimeter-security'
 'data-protection' 'access-control' 'casb' 'authentication'
 'cloud-security' 'isolation' 'byod' 'cyber-security']"
Symania,                              1/2018,"B2B, B2G",1-10,Bootstrapped,,R&D,,,,,,,"['cyber-security' 'enterprise-solutions' 'multi-factor-authentication'
 'authentication' 'identity-verification']"
Ottopia,                              9/2018,B2B,11-50,ROUND A,                 $12M,Customer development,A,12M,2,7,A Round,$9M,"['cyber-security' 'safety' 'driver-safety' 'smart-mobility' 'quarantine'
 'autonomous-vehicles' 'remote-monitoring' 'smart-city']"
Toka,                              4/2018,B2G,11-50,ROUND B,                 $37.5M,Beta,B,37.5M,2,6,B Round,$25M,"['cyber-intelligence' 'cyber-security' 'cyber-warfare' 'cloud-security'
 'saas' 'iot']"
Sayata Labs,                              5/2016,B2B,11-50,ROUND A,                 $23.5M,Released,A,23.5M,2,5,A Round,$17M,"['risk-assesments' 'fintech' 'insurtech' 'artificial-intelligence'
 'natural-language-processing' 'machine-learning' 'risk-management'
 'cyber-security' 'underwriting' 'cyber-insurance' 'software-applications']"
ForeScout,                              6/2000,"B2B, B2G",500+,ROUND C+,                 $132.4M,Released,C+,132.4M,5,8,G Round,$76M,"['network-security' 'network-visibility' 'access-control' 'byod'
 'mobile-security' 'network-management' 'orchestration'
 'incident-response' 'mdm' 'compliance' 'iot' 'enterprise-security'
 'asset-management' 'cyber-security' 'threat-intelligence']"
Psyber Solutions,                              4/2021,B2B,1-10,Bootstrapped,,Customer development,,,,,,,['cyber-security' 'behavior-analytics' 'data-protection']
FirstPoint Mobile Guard,                              1/2016,"B2B, B2G",11-50,Seed,                 $2.5M,Released,Seed,2.5M,1,3,Seed,$2.5M,"['cyber-security' 'mobile-security' 'byod' 'data-protection'
 'homeland-security' 'privacy-protection' 'enterprise-security'
 'mobile-devices' 'mobile-networks' 'telecommunication' 'iot' 'security'
 'smart-mobility']"
Cydome Security,                              1/2016,"B2B, B2G",11-50,Seed,                 $2.2M,Released,Seed,2.2M,3,2,Seed,$2.2M,"['threat-detection' 'secure-coding' 'transportation' 'network-security'
 'cyber-security' 'iot' 'smart-mobility' 'enterprise-solutions'
 'iot-security' 'data-protection']"
LYNX.io,                              2/2018,"B2B, B2C, B2G",1-10,Bootstrapped,,R&D,,,,,,,"['digital-signature' 'information-service' 'iot' 'anti-fraud'
 'data-protection' 'cyber-security' 'data-integrity' 'remote' 'encryption'
 'cryptography' 'enterprise-security']"
Bridgecrew,                              3/2019,B2B,11-50,ROUND A,                 $18M,Beta,A,18M,2,7,A Round,$14M,"['cloud-infrastructure' 'cyber-security' 'cloud-security'
 'enterprise-solutions']"
MediGate,                              9/2017,"B2B, B2G",51-200,ROUND B,                 $50.35M,Released,B,50.35M,3,5,B Round,$30M,"['data-protection' 'cyber-security' 'medical-devices' 'threat-detection'
 'digital-healthcare' 'connected-devices' 'iot' 'clinical-workflow'
 'risk-assesments']"
Deceptive Bytes,                              5/2016,"B2B, B2G",1-10,Seed,                 $18K,Released,Seed,18K,1,1,Seed,$18K,"['endpoint-security' 'behavior-analytics' 'ransomware' 'cyber-security'
 'malware' 'security' 'deception']"
Cyren,                              2/1991,B2B,201-500,Public,                 $41.53M,Released,Public,41.53M,4,3,Undisclosed Round,$19.6M,"['cyber-intelligence' 'spear-phishing' 'messaging-security' 'malware'
 'email' 'threat-intelligence' 'web-application-firewall'
 'website-security' 'security-gateway' 'anomaly-detection'
 'big-data-analytics' 'behavior-analytics' 'data-protection'
 'enterprise-security' 'cloud-based' 'saas' 'cyber-security']"
1touch.io,                              3/2017,B2B,11-50,ROUND A,                 $14M,Released,A,14M,1,5,A Round,$14M,"['privacy-protection' 'enterprise-solutions' 'artificial-intelligence'
 'machine-learning' 'data-governance' 'natural-language-processing' 'gdpr'
 'compliance' 'cyber-security' 'data-protection' 'data-management'
 'authentication']"
Immue,                              12/2020,B2B,1-10,Bootstrapped,,R&D,,,,,,,"['bots' 'machine-learning' 'artificial-intelligence' 'cyber-security'
 'data-protection']"
ArcusTeam,                              3/2018,B2B,11-50,Seed,                 $6.57M,Beta,Seed,6.57M,5,4,Seed,$20K,"['artificial-intelligence' 'oem' 'vulnerability-assessment'
 'smart-mobility' 'cyber-security' 'data-protection'
 'software-development' 'patent-pending' 'connected-devices'
 'iot-security' 'linux' 'application-security-testing' 'threat-detection'
 'app-development' 'iot']"
EasySec Solutions,                              8/2017,B2B,11-50,Seed,,Released,,,,,,,"['open-source' 'network-security' 'connected-devices' 'cyber-security'
 'data-protection' 'iot' 'smart-city' 'smart-home' 'vpn'
 'enterprise-security' 'access-control' 'encryption']"
Source Defense,                              7/2014,B2B,11-50,ROUND A,                 $21.6M,Released,A,21.6M,3,7,A Round,$10.5M,"['cyber-security' 'isolation' 'machine-learning' 'virtualization' 'ips'
 'monitoring' 'ecommerce' 'malware' 'client-side-security'
 'threat-detection' 'secure-coding' 'website-security' 'saas'
 'artificial-intelligence']"
Cynergy,                              7/2019,B2B,1-10,Bootstrapped,,Beta,,,,,,,"['cloud-security' 'enterprise-solutions' 'machine-learning' 'supply-chain'
 'artificial-intelligence' 'cyber-security']"
Commugen,                              10/1999,"B2B, B2G",11-50,Revenue Financed,,Released,Revenue Financed,0,1,1,Undisclosed Round,,"['supply-chain' 'regulation' 'fintech' 'management-solutions'
 'business-dashboard' 'saas' 'gdpr' 'cyber-security' 'business-processes'
 'bpm' 'business-management' 'security-operations' 'risk-management'
 'enterprise-solutions' 'cloud' 'back-office' 'compliance' 'grc'
 'cyber-legal-and-regulatory' 'web-platform']"
apiiro,                              5/2019,B2B,11-50,ROUND A,                 $35M,Released,A,35M,1,8,A Round,$35M,"['web-development' 'enterprise-solutions' 'compliance' 'cyber-security'
 'patent-pending' 'cloud-security' 'software-applications' 'ci-cd'
 'risk-management' 'application-security']"
Mobilicom,                              11/2006,"B2B, B2G",11-50,Public,                 $14.93M,Released,Public,14.93M,3,3,Post-IPO Equity Funding,$10M,"['disaster-recovery' 'encryption' 'unmanned-ground-vehicle'
 'transportation' 'mobile-devices' 'public-transportation' 'robotics'
 'wireless-communication' 'lte' 'cyber-security'
 'emergency-medical-services' '4g-networks' 'iot' 'drones' 'smart-city'
 'enterprise-solutions' 'smart-grid' 'smart-mobility' 'telecommunication'
 'unmanned-aerial-vehicle' 'broadband' 'homeland-security'
 'mobile-networks']"
RevenueStream,                              1/2012,B2B,1-10,Seed,                 $500K,Released,Seed,500K,1,2,Seed,$500K,"['testing' 'transactions' 'artificial-intelligence' 'credit-cards'
 'data-mining' 'ecommerce' 'payments' 'big-data-analytics'
 'cyber-security' 'iam' 'fintech' 'saas' 'anti-fraud']"
BitDam,                              12/2015,B2B,11-50,Seed,                 $3M,Released,Seed,3M,1,2,Seed,$3M,"['code' 'application-security' 'spear-phishing' 'cyber-security' 'malware'
 'zero-day' 'enterprise-security' 'network-security' 'data-protection'
 'apt' 'enterprise-solutions' 'messaging-security' 'threat-detection']"
Surance.io,                              3/2017,B2B2C,1-10,Bootstrapped,,R&D,,,,,,,"['threat-intelligence' 'home-iot' 'vulnerability-management'
 'cyber-insurance' 'fintech' 'cyber-security' 'insurtech'
 'big-data-analytics' 'artificial-intelligence' 'home-security'
 'underwriting' 'security-posture-assessment' 'risk-management']"
SAM Seamless Network,                              1/2016,"B2B, B2B2C",51-200,ROUND B,                 $36M,Released,B,36M,3,7,B Round,$20M,"['network-security' 'gdpr' 'data-protection' 'wifi' 'soc' 'iot-security'
 'home-security' 'iot' 'cloud-security' 'remote' 'connected-devices'
 'connectivity' 'telecommunication' 'smart-home' 'home-connected-devices'
 'parental-control' 'endpoint-security' 'bot-detection' 'cyber-security'
 'artificial-intelligence' 'security' 'security-gateway'
 'homeland-security' 'home-iot' 'encryption' 'ddos' 'network-management']"
ComSignTrust,             2009,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['anti-fraud' 'compliance' 'cyber-security' 'digital-signature'
 'authentication' 'mobile-applications' 'file-security' 'data-protection']"
Minerva Labs,                              10/2014,B2B,11-50,ROUND A,                 $7.75M,Released,A,7.75M,3,3,A Round,$7.5M,"['deception' 'point-of-sale' 'ips' 'apt' 'cyber-security'
 'enterprise-security' 'ransomware' 'mobile-security'
 'enterprise-solutions' 'endpoint-security' 'prevention' 'malware']"
GamaSec,                              11/2005,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['cyber-security' 'saas' 'malware' 'web-application-firewall' 'cloud'
 'website-security' 'vulnerability-assessment']"
ThetaRay,                              6/2013,B2B,51-200,ROUND C+,                 $91.5M,Released,C+,91.5M,6,11,C Round,$31M,"['big-data-analytics' 'anomaly-detection' 'industry-4.0' 'deep-learning'
 'insider-threat' 'iot' 'anti-money-laundering' 'transactions'
 'cyber-security' 'anti-fraud' 'aml' 'predictive-analytics' 'scada'
 'artificial-intelligence' 'risk-management' 'fintech' 'grc' 'compliance']"
Secunity.io,                              1/2021,B2B,1-10,Bootstrapped,,R&D,,,,,,,"['cyber-security' 'web-platform' 'enterprise-solutions' 'data-protection'
 'ddos']"
CardLatch,                              3/2019,B2B,1-10,Bootstrapped,,R&D,,,,,,,['fintech' 'cyber-security' 'credit-cards' 'anti-fraud']
Coronet,                              9/2014,B2B,51-200,ROUND B,,Released,,,,,,,"['compliance' 'dlp' 'saas' 'byod' 'vulnerability-management'
 'endpoint-security' 'network-security' 'casb' 'orchestration' 'security'
 'security-operations' 'enterprise-security' 'data-protection'
 'cloud-security' 'cyber-security']"
BIS Guard,                              11/2002,B2B,1-10,Revenue Financed,,Released,,,,,,,"['app-development' 'java' 'cyber-security' 'software-development'
 'application-security']"
Random Quantum,                              9/2017,"B2B, B2G",11-50,Bootstrapped,,Released,,,,,,,"['casino' 'cloud-based' 'cyber-security' 'cryptography'
 'quantum-computing']"
Cybint,                              4/2014,"B2B, B2G, B2B2C",51-200,ROUND A,                 $5.037M,Released,A,5.037M,1,1,Undisclosed Round,$5.037M,"['competitive-intelligence' 'decision-making' 'higher-education'
 'enterprise-solutions' 'cyber-intelligence' 'cyber-security' 'quarantine'
 'cyber-legal-and-regulatory' 'market-research' 'knowledge-technology'
 'e-learning' 'edtech' 'k-12' 'cyber-threat-analysis']"
torq,                              12/2019,B2B,11-50,ROUND A,                 $28M,Beta,A,28M,2,4,Seed,$8M,['security-operations' 'cyber-security' 'orchestration']
Protex Cybersecurity,                              10/2020,B2B2C,1-10,Bootstrapped,,Customer development,,,,,,,['machine-learning' 'cyber-security' 'messaging-security' 'patent-pending']
Cynet,                              1/2015,"B2B, B2G",201-500,ROUND C+,                 $78M,Released,C+,78M,4,9,C Round,$40M,"['behavior-analytics' 'ids' 'security-operations' 'anomaly-detection'
 'edr' 'incident-response' 'deception' 'siem' 'soc' 'cyber-security'
 'network-security' 'data-gathering' 'ransomware' 'threat-intelligence'
 'critical-infastructure' 'big-data-analytics' 'endpoint-security'
 'vulnerability-management' 'zero-day' 'apt']"
SMUFS Biometric Solutions,                              10/2011,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['access-control' 'identity-verification' 'biometrics' 'cyber-security'
 'mobile-devices' 'mobile-security' 'byod' 'authentication' 'hardware'
 'iam']"
