,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
Paygilant,75.14,66.94,89.97,100.0,81.31,100.0,87.36,66.94,73.26,73.59,75.8,81.94,66.94,70.59,66.94,69.7,69.7,84.38,81.94,66.94,83.14,66.94,69.7,85.73,66.94,70.5,70.5,66.94,69.7,87.04,85.73,69.7,66.94,87.66,66.94,66.94,85.73,85.73,85.73,100.0,73.26,80.5,66.94,81.94,87.78,71.69,75.8,66.94,75.14,66.94,66.94,83.26,75.8,76.13,66.94,87.04,75.51,74.69,66.94,66.94,76.13,100.0,85.73,66.94,82.91,81.99,70.5,70.5,80.95,66.94,69.7,87.04,70.5,81.99,66.94,75.14,85.73,79.72,70.5,72.35,81.94,66.94,74.16,66.94,66.94,83.26,85.73,100.0,75.14,81.99,72.32,70.5,73.59,66.19,69.7,73.26,87.04,66.94,100.0,72.35,80.52,78.41,85.35,66.94,69.7,80.27,69.7,87.53,66.94,66.94,100.0,85.47,66.94,66.94,70.5,77.04,66.94,66.94,66.94,66.94,70.5,100.0,73.26,100.0,70.59,75.89,100.0,85.47,69.7,73.26,75.14,66.94,87.04,85.73,75.33,66.94,66.94,70.5,84.56,87.04,69.7,66.94,73.26,69.7,73.59,72.32,66.94,66.94,5.9642857142857135
QSM Programming,80.22,72.62,91.0,100.0,82.08,100.0,89.56,72.62,76.03,77.05,79.64,84.91,72.62,71.71,72.62,71.72,71.72,87.85,84.91,72.62,85.12,72.62,71.72,85.97,72.62,74.29,74.29,72.62,71.72,88.61,85.97,71.72,72.62,88.4,72.62,72.62,85.97,85.97,85.97,100.0,76.03,84.48,72.62,83.32,90.15,71.51,79.64,72.62,80.22,72.62,72.62,85.73,79.64,79.51,72.62,88.61,77.85,74.32,72.62,72.62,79.51,100.0,85.97,72.62,82.0,79.96,74.29,74.29,80.13,72.62,71.72,88.61,74.29,79.96,72.62,80.22,85.97,82.24,74.29,72.86,84.91,72.62,76.86,72.62,72.62,85.73,85.97,100.0,80.22,79.96,73.26,74.29,77.05,64.7,71.72,76.03,88.61,72.62,100.0,72.86,82.35,80.94,85.84,72.62,71.72,80.11,71.72,88.66,72.62,72.62,100.0,87.8,72.62,72.62,74.29,77.72,72.62,72.62,72.62,72.62,74.29,100.0,76.03,100.0,71.71,79.01,100.0,87.8,71.72,76.03,80.22,72.62,88.61,85.97,75.06,72.62,72.62,74.29,87.08,88.61,71.72,72.62,76.03,71.72,77.05,73.26,72.62,72.62,5.82608695652174
Cobwebs Technology,84.89,73.75,94.67,100.0,92.0,100.0,94.93,73.75,87.37,86.21,88.52,88.68,73.75,78.38,73.75,84.0,84.0,89.52,88.68,73.75,93.65,73.75,84.0,91.64,73.75,81.23,81.23,73.75,84.0,90.47,91.64,84.0,73.75,92.55,73.75,73.75,91.64,91.64,91.64,100.0,87.37,91.35,73.75,87.2,92.82,83.45,88.52,73.75,84.89,73.75,73.75,94.02,88.52,84.25,73.75,90.47,87.02,87.78,73.75,73.75,84.25,100.0,91.64,73.75,89.91,85.37,81.23,81.23,91.75,73.75,84.0,90.47,81.23,85.37,73.75,84.89,91.64,90.53,81.23,85.0,88.68,73.75,81.08,73.75,73.75,94.02,91.64,100.0,84.89,85.37,86.88,81.23,86.21,71.7,84.0,87.37,90.47,73.75,100.0,85.0,92.4,89.7,89.85,73.75,84.0,90.57,84.0,92.81,73.75,73.75,100.0,94.38,73.75,73.75,81.23,90.16,73.75,73.75,73.75,73.75,81.23,100.0,87.37,100.0,78.38,85.97,100.0,94.38,84.0,87.37,84.89,73.75,90.47,91.64,84.66,73.75,73.75,81.23,94.5,90.47,84.0,73.75,87.37,84.0,86.21,86.88,73.75,73.75,5.9642857142857135
Next-Dim,76.3,67.39,82.85,100.0,76.13,100.0,82.3,67.39,70.81,71.09,74.1,77.92,67.39,71.52,67.39,65.97,65.97,80.57,77.92,67.39,77.93,67.39,65.97,78.24,67.39,72.08,72.08,67.39,65.97,80.71,78.24,65.97,67.39,82.28,67.39,67.39,78.24,78.24,78.24,100.0,70.81,77.97,67.39,77.88,82.62,69.19,74.1,67.39,76.3,67.39,67.39,79.12,74.1,76.92,67.39,80.71,72.86,70.05,67.39,67.39,76.92,100.0,78.24,67.39,77.88,75.1,72.08,72.08,73.94,67.39,65.97,80.71,72.08,75.1,67.39,76.3,78.24,74.84,72.08,68.47,77.92,67.39,74.3,67.39,67.39,79.12,78.24,100.0,76.3,75.1,67.79,72.08,71.09,65.92,65.97,70.81,80.71,67.39,100.0,68.47,75.36,73.69,80.92,67.39,65.97,73.6,65.97,83.2,67.39,67.39,100.0,79.92,67.39,67.39,72.08,73.66,67.39,67.39,67.39,67.39,72.08,100.0,70.81,100.0,71.52,74.82,100.0,79.92,65.97,70.81,76.3,67.39,80.71,78.24,74.37,67.39,67.39,72.08,79.77,80.71,65.97,67.39,70.81,65.97,71.09,67.79,67.39,67.39,4.391304347826088
Salvador Technologies,88.08,77.46,91.83,100.0,96.37,100.0,95.89,77.46,93.58,93.08,94.34,90.78,77.46,80.76,77.46,91.78,91.78,87.84,90.78,77.46,96.16,77.46,91.78,92.08,77.46,83.5,83.5,77.46,91.78,85.25,92.08,91.78,77.46,90.33,77.46,77.46,92.08,92.08,92.08,100.0,93.58,95.49,77.46,89.4,90.94,86.33,94.34,77.46,88.08,77.46,77.46,96.1,94.34,87.5,77.46,85.25,93.88,94.51,77.46,77.46,87.5,100.0,92.08,77.46,90.03,86.14,83.5,83.5,96.41,77.46,91.78,85.25,83.5,86.14,77.46,88.08,92.08,95.65,83.5,92.72,90.78,77.46,85.52,77.46,77.46,96.1,92.08,100.0,88.08,86.14,93.63,83.5,93.08,76.02,91.78,93.58,85.25,77.46,100.0,92.72,96.76,94.65,87.97,77.46,91.78,95.87,91.78,90.16,77.46,77.46,100.0,96.41,77.46,77.46,83.5,95.67,77.46,77.46,77.46,77.46,83.5,100.0,93.58,100.0,80.76,89.59,100.0,96.41,91.78,93.58,88.08,77.46,85.25,92.08,86.45,77.46,77.46,83.5,97.25,85.25,91.78,77.46,93.58,91.78,93.08,93.63,77.46,77.46,4.478260869565218
Quttera,70.71,61.79,83.75,100.0,76.73,100.0,83.02,61.79,68.52,67.3,70.64,75.59,61.79,68.48,61.79,63.46,63.46,78.7,75.59,61.79,76.78,61.79,63.46,79.04,61.79,67.36,67.36,61.79,63.46,81.62,79.04,63.46,61.79,83.28,61.79,61.79,79.04,79.04,79.04,100.0,68.52,76.64,61.79,76.4,85.9,71.33,70.64,61.79,70.71,61.79,61.79,77.96,70.64,72.36,61.79,81.62,69.7,71.53,61.79,61.79,72.36,100.0,79.04,61.79,82.13,76.92,67.36,67.36,77.26,61.79,63.46,81.62,67.36,76.92,61.79,70.71,79.04,73.39,67.36,66.78,75.59,61.79,68.76,61.79,61.79,77.96,79.04,100.0,70.71,76.92,68.66,67.36,67.3,61.71,63.46,68.52,81.62,61.79,100.0,66.78,75.47,74.29,79.9,61.79,63.46,74.53,63.46,86.44,61.79,61.79,100.0,79.17,61.79,61.79,67.36,74.7,61.79,61.79,61.79,61.79,67.36,100.0,68.52,100.0,68.48,72.78,100.0,79.17,63.46,68.52,70.71,61.79,81.62,79.04,76.23,61.79,61.79,67.36,81.64,81.62,63.46,61.79,68.52,63.46,67.3,68.66,61.79,61.79,5.82608695652174
Cymulate,80.94,74.72,85.93,100.0,84.73,100.0,88.96,74.72,76.29,78.07,80.48,84.81,74.72,78.0,74.72,72.09,72.09,84.27,84.81,74.72,82.13,74.72,72.09,83.95,74.72,73.72,73.72,74.72,72.09,81.5,83.95,72.09,74.72,87.24,74.72,74.72,83.95,83.95,83.95,100.0,76.29,84.37,74.72,87.47,87.46,72.72,80.48,74.72,80.94,74.72,74.72,83.09,80.48,84.47,74.72,81.5,81.99,79.26,74.72,74.72,84.47,100.0,83.95,74.72,86.03,85.07,73.72,73.72,83.59,74.72,72.09,81.5,73.72,85.07,74.72,80.94,83.95,82.58,73.72,77.58,84.81,74.72,83.34,74.72,74.72,83.09,83.95,100.0,80.94,85.07,74.34,73.72,78.07,74.99,72.09,76.29,81.5,74.72,100.0,77.58,81.96,79.92,85.01,74.72,72.09,83.28,72.09,87.66,74.72,74.72,100.0,85.77,74.72,74.72,73.72,81.82,74.72,74.72,74.72,74.72,73.72,100.0,76.29,100.0,78.0,80.85,100.0,85.77,72.09,76.29,80.94,74.72,81.5,83.95,81.52,74.72,74.72,73.72,86.97,81.5,72.09,74.72,76.29,72.09,78.07,74.34,74.72,74.72,7.2142857142857135
SecuriThings,80.6,68.98,90.21,100.0,89.02,100.0,92.09,68.98,80.38,77.87,81.79,82.35,68.98,83.55,68.98,74.69,74.69,86.07,82.35,68.98,86.84,68.98,74.69,84.66,68.98,78.02,78.02,68.98,74.69,88.3,84.66,74.69,68.98,92.93,68.98,68.98,84.66,84.66,84.66,100.0,80.38,85.63,68.98,86.27,90.31,75.26,81.79,68.98,80.6,68.98,68.98,88.51,81.79,85.27,68.98,88.3,82.62,83.4,68.98,68.98,85.27,100.0,84.66,68.98,90.89,87.46,78.02,78.02,87.21,68.98,74.69,88.3,78.02,87.46,68.98,80.6,84.66,82.58,78.02,81.21,82.35,68.98,81.45,68.98,68.98,88.51,84.66,100.0,80.6,87.46,77.58,78.02,77.87,78.17,74.69,80.38,88.3,68.98,100.0,81.21,85.6,82.27,90.9,68.98,74.69,86.45,74.69,93.63,68.98,68.98,100.0,87.94,68.98,68.98,78.02,87.03,68.98,68.98,68.98,68.98,78.02,100.0,80.38,100.0,83.55,78.93,100.0,87.94,74.69,80.38,80.6,68.98,88.3,84.66,87.61,68.98,68.98,78.02,88.62,88.3,74.69,68.98,80.38,74.69,77.87,77.58,68.98,68.98,7.2142857142857135
Dustico,89.6,76.53,93.1,100.0,91.41,100.0,93.82,76.53,89.24,88.4,90.79,89.51,76.53,83.48,76.53,85.67,85.67,89.52,89.51,76.53,93.83,76.53,85.67,90.65,76.53,86.86,86.86,76.53,85.67,88.55,90.65,85.67,76.53,91.75,76.53,76.53,90.65,90.65,90.65,100.0,89.24,92.18,76.53,88.06,90.76,89.11,90.79,76.53,89.6,76.53,76.53,94.51,90.79,88.78,76.53,88.55,89.21,89.24,76.53,76.53,88.78,100.0,90.65,76.53,89.99,84.67,86.86,86.86,90.64,76.53,85.67,88.55,86.86,84.67,76.53,89.6,90.65,90.41,86.86,86.7,89.51,76.53,86.18,76.53,76.53,94.51,90.65,100.0,89.6,84.67,88.31,86.86,88.4,78.44,85.67,89.24,88.55,76.53,100.0,86.7,91.72,89.27,91.17,76.53,85.67,89.4,85.67,92.68,76.53,76.53,100.0,93.68,76.53,76.53,86.86,91.82,76.53,76.53,76.53,76.53,86.86,100.0,89.24,100.0,83.48,90.54,100.0,93.68,85.67,89.24,89.6,76.53,88.55,90.65,88.93,76.53,76.53,86.86,93.65,88.55,85.67,76.53,89.24,85.67,88.4,88.31,76.53,76.53,3.0869565217391313
Karamba Security,86.87,74.74,91.64,100.0,90.87,100.0,93.04,74.74,87.17,85.46,88.68,88.43,74.74,79.77,74.74,82.45,82.45,87.32,88.43,74.74,90.79,74.74,82.45,90.33,74.74,83.75,83.75,74.74,82.45,86.3,90.33,82.45,74.74,90.63,74.74,74.74,90.33,90.33,90.33,100.0,87.17,90.95,74.74,86.45,92.41,81.53,88.68,74.74,86.87,74.74,74.74,92.25,88.68,85.59,74.74,86.3,85.9,85.06,74.74,74.74,85.59,100.0,90.33,74.74,88.89,83.41,83.75,83.75,88.85,74.74,82.45,86.3,83.75,83.41,74.74,86.87,90.33,89.33,83.75,82.98,88.43,74.74,81.21,74.74,74.74,92.25,90.33,100.0,86.87,83.41,84.56,83.75,85.46,70.77,82.45,87.17,86.3,74.74,100.0,82.98,91.61,87.53,86.64,74.74,82.45,88.2,82.45,90.29,74.74,74.74,100.0,92.18,74.74,74.74,83.75,88.82,74.74,74.74,74.74,74.74,83.75,100.0,87.17,100.0,79.77,85.51,100.0,92.18,82.45,87.17,86.87,74.74,86.3,90.33,84.48,74.74,74.74,83.75,93.25,86.3,82.45,74.74,87.17,82.45,85.46,84.56,74.74,74.74,7.500000000000001
CommuniTake Technologies,81.23,66.83,91.88,100.0,86.51,100.0,90.91,66.83,80.5,76.82,81.22,81.94,66.83,80.97,66.83,74.29,74.29,86.35,81.94,66.83,87.47,66.83,74.29,85.82,66.83,80.91,80.91,66.83,74.29,90.24,85.82,74.29,66.83,92.4,66.83,66.83,85.82,85.82,85.82,100.0,80.5,85.22,66.83,82.68,91.66,76.43,81.22,66.83,81.23,66.83,66.83,89.36,81.22,82.62,66.83,90.24,79.22,79.6,66.83,66.83,82.62,100.0,85.82,66.83,88.16,83.28,80.91,80.91,83.71,66.83,74.29,90.24,80.91,83.28,66.83,81.23,85.82,81.37,80.91,77.53,81.94,66.83,77.36,66.83,66.83,89.36,85.82,100.0,81.23,83.28,76.69,80.91,76.82,72.68,74.29,80.5,90.24,66.83,100.0,77.53,85.37,82.08,90.07,66.83,74.29,83.06,74.29,93.18,66.83,66.83,100.0,87.69,66.83,66.83,80.91,84.23,66.83,66.83,66.83,66.83,80.91,100.0,80.5,100.0,80.97,78.33,100.0,87.69,74.29,80.5,81.23,66.83,90.24,85.82,84.62,66.83,66.83,80.91,87.77,90.24,74.29,66.83,80.5,74.29,76.82,76.69,66.83,66.83,6.25
Armis,78.1,64.29,86.94,100.0,89.72,100.0,89.94,64.29,83.67,79.19,82.82,79.31,64.29,79.98,64.29,78.88,78.88,81.08,79.31,64.29,87.36,64.29,78.88,83.41,64.29,77.76,77.76,64.29,78.88,83.66,83.41,78.88,64.29,88.78,64.29,64.29,83.41,83.41,83.41,100.0,83.67,85.86,64.29,81.34,88.23,74.98,82.82,64.29,78.1,64.29,64.29,88.87,82.82,80.8,64.29,83.66,82.35,84.95,64.29,64.29,80.8,100.0,83.41,64.29,87.72,83.02,77.76,77.76,87.96,64.29,78.88,83.66,77.76,83.02,64.29,78.1,83.41,83.26,77.76,83.08,79.31,64.29,75.9,64.29,64.29,88.87,83.41,100.0,78.1,83.02,81.18,77.76,79.19,72.83,78.88,83.67,83.66,64.29,100.0,83.08,87.87,84.77,85.64,64.29,78.88,87.41,78.88,89.28,64.29,64.29,100.0,86.95,64.29,64.29,77.76,88.21,64.29,64.29,64.29,64.29,77.76,100.0,83.67,100.0,79.98,76.13,100.0,86.95,78.88,83.67,78.1,64.29,83.66,83.41,84.36,64.29,64.29,77.76,88.4,83.66,78.88,64.29,83.67,78.88,79.19,81.18,64.29,64.29,5.9642857142857135
RAD,71.47,51.43,78.79,100.0,77.51,100.0,78.84,51.43,70.26,61.15,68.76,67.43,51.43,80.96,51.43,60.02,60.02,71.41,67.43,51.43,72.64,51.43,60.02,73.75,51.43,77.44,77.44,51.43,60.02,77.27,73.75,60.02,51.43,84.45,51.43,51.43,73.75,73.75,73.75,100.0,70.26,72.53,51.43,71.01,84.16,63.41,68.76,51.43,71.47,51.43,51.43,77.4,68.76,75.35,51.43,77.27,65.39,67.17,51.43,51.43,75.35,100.0,73.75,51.43,83.03,76.01,77.44,77.44,71.26,51.43,60.02,77.27,77.44,76.01,51.43,71.47,73.75,66.05,77.44,65.79,67.43,51.43,65.83,51.43,51.43,77.4,73.75,100.0,71.47,76.01,62.0,77.44,61.15,68.39,60.02,70.26,77.27,51.43,100.0,65.79,74.61,67.63,79.54,51.43,60.02,71.08,60.02,84.48,51.43,51.43,100.0,72.47,51.43,51.43,77.44,75.06,51.43,51.43,51.43,51.43,77.44,100.0,70.26,100.0,80.96,62.72,100.0,72.47,60.02,70.26,71.47,51.43,77.27,73.75,81.73,51.43,51.43,77.44,74.81,77.27,60.02,51.43,70.26,60.02,61.15,62.0,51.43,51.43,5.478260869565218
SCADAfence,87.78,76.35,90.6,100.0,91.93,100.0,93.37,76.35,86.21,84.61,88.46,88.97,76.35,83.38,76.35,80.45,80.45,87.13,88.97,76.35,88.9,76.35,80.45,89.85,76.35,83.92,83.92,76.35,80.45,84.88,89.85,80.45,76.35,91.8,76.35,76.35,89.85,89.85,89.85,100.0,86.21,90.49,76.35,89.11,92.5,82.14,88.46,76.35,87.78,76.35,76.35,91.04,88.46,88.63,76.35,84.88,86.68,86.2,76.35,76.35,88.63,100.0,89.85,76.35,92.63,86.49,83.92,83.92,90.12,76.35,80.45,84.88,83.92,86.49,76.35,87.78,89.85,88.88,83.92,83.29,88.97,76.35,84.14,76.35,76.35,91.04,89.85,100.0,87.78,86.49,83.68,83.92,84.61,74.62,80.45,86.21,84.88,76.35,100.0,83.29,91.1,85.44,87.17,76.35,80.45,88.81,80.45,91.47,76.35,76.35,100.0,91.4,76.35,76.35,83.92,90.37,76.35,76.35,76.35,76.35,83.92,100.0,86.21,100.0,83.38,86.76,100.0,91.4,80.45,86.21,87.78,76.35,84.88,89.85,88.86,76.35,76.35,83.92,93.54,84.88,80.45,76.35,86.21,80.45,84.61,83.68,76.35,76.35,7.750000000000003
Cyberm8,79.48,63.5,90.64,100.0,85.41,100.0,89.44,63.5,79.57,74.61,79.49,79.19,63.5,81.17,63.5,72.86,72.86,84.51,79.19,63.5,86.3,63.5,72.86,83.9,63.5,80.78,80.78,63.5,72.86,89.63,83.9,72.86,63.5,91.74,63.5,63.5,83.9,83.9,83.9,100.0,79.57,83.5,63.5,80.31,90.61,75.68,79.49,63.5,79.48,63.5,63.5,88.49,79.49,81.18,63.5,89.63,77.22,78.57,63.5,63.5,81.18,100.0,83.9,63.5,87.6,81.96,80.78,80.78,82.34,63.5,72.86,89.63,80.78,81.96,63.5,79.48,83.9,79.03,80.78,76.36,79.19,63.5,75.15,63.5,63.5,88.49,83.9,100.0,79.48,81.96,75.44,80.78,74.61,72.3,72.86,79.57,89.63,63.5,100.0,76.36,84.08,80.62,89.51,63.5,72.86,81.54,72.86,92.83,63.5,63.5,100.0,85.81,63.5,63.5,80.78,83.57,63.5,63.5,63.5,63.5,80.78,100.0,79.57,100.0,81.17,76.04,100.0,85.81,72.86,79.57,79.48,63.5,89.63,83.9,84.81,63.5,63.5,80.78,86.02,89.63,72.86,63.5,79.57,72.86,74.61,75.44,63.5,63.5,2.0434782608695654
Perimeter 81,80.16,68.64,91.25,100.0,83.4,100.0,89.63,68.64,74.89,73.35,77.55,83.22,68.64,79.38,68.64,68.51,68.51,86.13,83.22,68.64,83.12,68.64,68.51,86.5,68.64,77.56,77.56,68.64,68.51,88.64,86.5,68.51,68.64,91.8,68.64,68.64,86.5,86.5,86.5,100.0,74.89,82.69,68.64,84.73,92.35,76.86,77.55,68.64,80.16,68.64,68.64,84.98,77.55,82.47,68.64,88.64,76.47,76.35,68.64,68.64,82.47,100.0,86.5,68.64,89.41,85.23,77.56,77.56,81.93,68.64,68.51,88.64,77.56,85.23,68.64,80.16,86.5,79.17,77.56,72.86,83.22,68.64,78.49,68.64,68.64,84.98,86.5,100.0,80.16,85.23,72.53,77.56,73.35,72.71,68.51,74.89,88.64,68.64,100.0,72.86,81.51,78.35,89.0,68.64,68.51,80.25,68.51,93.34,68.64,68.64,100.0,85.59,68.64,68.64,77.56,80.73,68.64,68.64,68.64,68.64,77.56,100.0,74.89,100.0,79.38,79.58,100.0,85.59,68.51,74.89,80.16,68.64,88.64,86.5,84.66,68.64,68.64,77.56,86.77,88.64,68.51,68.64,74.89,68.51,73.35,72.53,68.64,68.64,7.750000000000003
Cyberpion,84.51,77.69,90.54,100.0,90.54,100.0,92.33,77.69,85.21,87.16,88.11,90.08,77.69,75.84,77.69,83.36,83.36,87.25,90.08,77.69,90.39,77.69,83.36,90.64,77.69,77.26,77.26,77.69,83.36,84.16,90.64,83.36,77.69,88.41,77.69,77.69,90.64,90.64,90.64,100.0,85.21,89.67,77.69,89.11,88.06,85.72,88.11,77.69,84.51,77.69,77.69,90.09,88.11,84.51,77.69,84.16,88.39,89.0,77.69,77.69,84.51,100.0,90.64,77.69,89.43,85.49,77.26,77.26,92.6,77.69,83.36,84.16,77.26,85.49,77.69,84.51,90.64,91.21,77.26,85.01,90.08,77.69,83.83,77.69,77.69,90.09,90.64,100.0,84.51,85.49,87.57,77.26,87.16,72.41,83.36,85.21,84.16,77.69,100.0,85.01,90.43,87.14,85.81,77.69,83.36,90.41,83.36,88.43,77.69,77.69,100.0,92.85,77.69,77.69,77.26,89.74,77.69,77.69,77.69,77.69,77.26,100.0,85.21,100.0,75.84,89.4,100.0,92.85,83.36,85.21,84.51,77.69,84.16,90.64,84.29,77.69,77.69,77.26,93.65,84.16,83.36,77.69,85.21,83.36,87.16,87.57,77.69,77.69,6.071428571428572
Reblaze,73.56,60.83,85.24,100.0,81.65,100.0,85.02,60.83,74.66,71.59,74.97,76.83,60.83,74.17,60.83,69.96,69.96,78.38,76.83,60.83,80.93,60.83,69.96,82.08,60.83,73.01,73.01,60.83,69.96,81.8,82.08,69.96,60.83,85.42,60.83,60.83,82.08,82.08,82.08,100.0,74.66,79.7,60.83,78.01,87.07,74.05,74.97,60.83,73.56,60.83,60.83,82.12,74.97,75.5,60.83,81.8,74.21,76.61,60.83,60.83,75.5,100.0,82.08,60.83,84.22,80.24,73.01,73.01,81.04,60.83,69.96,81.8,73.01,80.24,60.83,73.56,82.08,76.71,73.01,73.48,76.83,60.83,71.59,60.83,60.83,82.12,82.08,100.0,73.56,80.24,73.5,73.01,71.59,68.47,69.96,74.66,81.8,60.83,100.0,73.48,80.24,78.54,82.66,60.83,69.96,79.53,69.96,87.26,60.83,60.83,100.0,81.62,60.83,60.83,73.01,79.7,60.83,60.83,60.83,60.83,73.01,100.0,74.66,100.0,74.17,73.67,100.0,81.62,69.96,74.66,73.56,60.83,81.8,82.08,79.76,60.83,60.83,73.01,83.41,81.8,69.96,60.83,74.66,69.96,71.59,73.5,60.83,60.83,5.9642857142857135
SecurityDAM,73.03,61.08,84.23,100.0,82.48,100.0,84.24,61.08,73.95,71.5,74.51,78.41,61.08,74.13,61.08,69.71,69.71,76.12,78.41,61.08,79.07,61.08,69.71,84.65,61.08,71.9,71.9,61.08,69.71,78.05,84.65,69.71,61.08,84.62,61.08,61.08,84.65,84.65,84.65,100.0,73.95,78.84,61.08,80.06,87.11,75.08,74.51,61.08,73.03,61.08,61.08,80.17,74.51,75.59,61.08,78.05,74.55,77.37,61.08,61.08,75.59,100.0,84.65,61.08,86.12,83.38,71.9,71.9,82.73,61.08,69.71,78.05,71.9,83.38,61.08,73.03,84.65,77.55,71.9,73.84,78.41,61.08,72.46,61.08,61.08,80.17,84.65,100.0,73.03,83.38,73.74,71.9,71.5,69.89,69.71,73.95,78.05,61.08,100.0,73.84,80.68,77.65,80.66,61.08,69.71,81.0,69.71,85.42,61.08,61.08,100.0,81.03,61.08,61.08,71.9,79.89,61.08,61.08,61.08,61.08,71.9,100.0,73.95,100.0,74.13,74.35,100.0,81.03,69.71,73.95,73.03,61.08,78.05,84.65,80.37,61.08,61.08,71.9,83.62,78.05,69.71,61.08,73.95,69.71,71.5,73.74,61.08,61.08,7.6521739130434785
BioCatch,78.08,73.15,90.42,100.0,83.29,100.0,90.27,73.15,74.02,76.67,78.29,84.68,73.15,74.12,73.15,70.92,70.92,87.9,84.68,73.15,84.48,73.15,70.92,85.1,73.15,70.2,70.2,73.15,70.92,88.31,85.1,70.92,73.15,89.45,73.15,73.15,85.1,85.1,85.1,100.0,74.02,83.3,73.15,86.86,88.12,69.39,78.29,73.15,78.08,73.15,73.15,84.27,78.29,81.28,73.15,88.31,80.27,76.88,73.15,73.15,81.28,100.0,85.1,73.15,83.57,85.27,70.2,70.2,82.42,73.15,70.92,88.31,70.2,85.27,73.15,78.08,85.1,82.07,70.2,75.96,84.68,73.15,81.17,73.15,73.15,84.27,85.1,100.0,78.08,85.27,72.34,70.2,76.67,72.6,70.92,74.02,88.31,73.15,100.0,75.96,80.82,80.32,88.72,73.15,70.92,82.83,70.92,89.41,73.15,73.15,100.0,87.58,73.15,73.15,70.2,78.67,73.15,73.15,73.15,73.15,70.2,100.0,74.02,100.0,74.12,78.19,100.0,87.58,70.92,74.02,78.08,73.15,88.31,85.1,76.82,73.15,73.15,70.2,86.1,88.31,70.92,73.15,74.02,70.92,76.67,72.34,73.15,73.15,5.9642857142857135
ITsMine,83.95,74.72,92.49,100.0,90.0,100.0,93.93,74.72,82.74,82.82,85.34,87.08,74.72,81.83,74.72,78.76,78.76,89.41,87.08,74.72,89.98,74.72,78.76,87.96,74.72,78.82,78.82,74.72,78.76,89.62,87.96,78.76,74.72,92.94,74.72,74.72,87.96,87.96,87.96,100.0,82.74,88.69,74.72,89.18,90.76,81.72,85.34,74.72,83.95,74.72,74.72,90.6,85.34,86.89,74.72,89.62,86.31,86.66,74.72,74.72,86.89,100.0,87.96,74.72,91.29,87.84,78.82,78.82,90.06,74.72,78.76,89.62,78.82,87.84,74.72,83.95,87.96,86.96,78.82,83.55,87.08,74.72,84.98,74.72,74.72,90.6,87.96,100.0,83.95,87.84,82.41,78.82,82.82,78.26,78.76,82.74,89.62,74.72,100.0,83.55,87.74,85.55,91.83,74.72,78.76,88.54,78.76,94.19,74.72,74.72,100.0,91.53,74.72,74.72,78.82,88.92,74.72,74.72,74.72,74.72,78.82,100.0,82.74,100.0,81.83,85.61,100.0,91.53,78.76,82.74,83.95,74.72,89.62,87.96,87.87,74.72,74.72,78.82,91.88,89.62,78.76,74.72,82.74,78.76,82.82,82.41,74.72,74.72,5.571428571428572
